"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.330589231E0,-1.630644798E-1,-9.195432067E-3,2.718639374E-2,1.655707720E-1
1.335558606E0,-2.639789581E-1,-6.861901283E-2,-2.959961891E-1,4.025011841E-1
1.340527512E0,-5.033397675E-2,-3.248612583E-2,-4.028272629E-1,4.072574877E-1
1.345471158E0,-1.469101906E-1,-1.785156131E-2,4.913377762E-2,1.559339939E-1
1.350420116E0,8.465003967E-2,-6.294654310E-2,2.459721565E-1,2.676381854E-1
1.355373449E0,7.921791077E-2,-9.567543864E-2,2.415246964E-1,2.715942670E-1
1.360326783E0,7.126808167E-3,-8.080655336E-2,4.724359512E-2,9.387463844E-2
1.365287460E0,-1.591567993E-1,-2.319234610E-2,-7.436037064E-2,1.771954751E-1
1.370254439E0,-8.194065094E-2,-3.498601913E-2,-1.733970642E-1,1.949482846E-1
1.375228293E0,5.662155151E-2,-6.085909903E-2,-2.718167305E-1,2.842431442E-1
1.380206574E0,9.199571609E-2,-2.946643531E-2,1.364645958E-1,1.671947024E-1
1.385191366E0,1.007542610E-1,-3.641648591E-2,1.804389954E-1,2.098471172E-1
1.390174491E0,4.288768768E-2,-6.710164249E-2,1.124324799E-1,1.377789777E-1
1.395124126E0,-7.637262344E-2,-3.572931886E-2,-8.080530167E-2,1.167855240E-1
1.400075585E0,-1.255970001E-1,-6.152650714E-2,-1.561713219E-1,2.096415972E-1
1.405030533E0,-3.433036804E-2,-3.965616226E-3,-1.405696869E-1,1.447554391E-1
1.409992772E0,1.085872650E-1,-8.610099554E-3,-4.086017609E-3,1.090046948E-1
1.414959283E0,2.098145485E-1,-5.849298835E-2,6.247472763E-2,2.265980274E-1
1.419930429E0,1.274356842E-1,-6.516607106E-2,1.330919266E-1,1.954480272E-1
1.424904283E0,1.470994949E-2,-9.082263708E-2,1.462478638E-1,1.727818615E-1
1.429880220E0,-7.339620590E-2,-5.929364264E-2,-7.818889618E-2,1.225407793E-1
1.434851054E0,-9.889030457E-2,-5.170975626E-2,-1.820836067E-1,2.135594322E-1
1.439799283E0,2.559852600E-2,-5.840443075E-2,-1.403093338E-1,1.541203141E-1
1.444751210E0,9.682607651E-2,-2.941057086E-2,1.362576485E-1,1.697245343E-1
1.449708658E0,1.625957489E-1,-5.533002317E-2,1.469416618E-1,2.260323893E-1
1.454671731E0,1.185431480E-1,-7.869571447E-2,1.100258827E-1,1.798643608E-1
1.459639283E0,-1.315021515E-2,-5.918012559E-2,-5.713176727E-2,8.330218638E-2
1.464610845E0,-9.370756149E-2,-6.819085777E-2,-2.135334015E-1,2.429559913E-1
1.469582824E0,-4.769134521E-2,-1.064699888E-2,-2.047209740E-1,2.104720888E-1
1.474557251E0,2.188444138E-2,-3.434741497E-2,-4.887437820E-2,6.361901079E-2
1.479533189E0,1.239881516E-1,-6.022870541E-2,1.842050552E-1,2.300696874E-1
1.484509543E0,8.025741577E-2,-5.025874078E-2,2.253718376E-1,2.444578880E-1
1.489478137E0,1.781272888E-2,-6.654305756E-2,1.237320900E-1,1.416153308E-1
1.494419960E0,-5.120086670E-2,-2.092784643E-2,-9.111976624E-2,1.065941617E-1
1.499364387E0,-6.726503372E-2,-5.167455971E-2,-1.427502632E-1,1.660496388E-1
1.504313085E0,5.458450317E-2,-5.844469368E-2,-1.796979904E-1,1.966891404E-1
1.509270533E0,1.161818504E-1,-2.715024352E-2,2.582502365E-2,1.220749358E-1
1.514233293E0,1.011352539E-1,-1.990674436E-2,1.299686432E-1,1.658808797E-1
1.519202460E0,1.253557205E-2,-6.019634008E-2,2.071490288E-1,2.160820679E-1
1.524175376E0,-1.372399330E-1,-3.133583069E-2,6.052541733E-2,1.532320451E-1
1.529155116E0,-4.813909531E-2,-4.536747932E-2,-7.069158554E-2,9.681364028E-2
1.534135637E0,-1.191291809E-1,-1.414741576E-2,-1.840119362E-1,2.196640703E-1
1.539110220E0,-5.604505539E-2,-9.355917573E-3,-3.585724831E-1,3.630465632E-1
1.544075168E0,9.206914902E-2,-6.135547161E-2,4.208755493E-1,4.351751947E-1
1.549039647E0,2.121386528E-1,2.207358181E-2,2.965025902E-1,3.652449000E-1
1.553983345E0,5.613708496E-2,-1.385486126E-2,-2.453751564E-1,2.520958089E-1
1.558932460E0,-1.887588501E-1,-4.224182665E-2,1.483993530E-1,2.437963154E-1
1.563888137E0,-1.303362846E-1,-6.583228707E-2,7.604408264E-2,1.646333490E-1
1.568850168E0,-1.078453064E-1,-6.298261881E-2,-3.237009048E-1,3.469577729E-1
1.573815949E0,4.058694839E-2,-5.058205128E-2,8.960247040E-3,6.546854450E-2
1.578786314E0,1.425714493E-1,-1.927784085E-2,3.222908974E-1,3.529442956E-1
1.583760429E0,7.470464706E-2,-5.478677154E-2,2.389883995E-1,2.563158788E-1
1.588735949E0,-7.083797455E-2,-6.160421669E-2,-1.692070961E-1,1.935048824E-1
1.593712095E0,-1.698431969E-1,-3.258368373E-2,-1.252002716E-1,2.135029648E-1
